Planning Area,Subzone,Age Group,Type of Dwelling,2024
Ang Mo Kio,Total,70 - 74,Condominiums and Other Apartments,460
Ang Mo Kio,Total,70 - 74,Landed Properties,990
Ang Mo Kio,Total,70 - 74,Others,170
Ang Mo Kio,Total,75 - 79,Total,7970
Ang Mo Kio,Total,75 - 79,Total HDB^,6780
Ang Mo Kio,Total,75 - 79,1- and 2-Room Flats*,650
Ang Mo Kio,Total,75 - 79,3-Room Flats,3160
Ang Mo Kio,Total,75 - 79,4-Room Flats,2030
Ang Mo Kio,Total,75 - 79,5-Room and Executive Flats,940
Ang Mo Kio,Total,75 - 79,Condominiums and Other Apartments,290
Ang Mo Kio,Total,75 - 79,Landed Properties,740
Ang Mo Kio,Total,75 - 79,Others,160
Ang Mo Kio,Total,80 - 84,Total,5020
Ang Mo Kio,Total,80 - 84,Total HDB^,4190
Ang Mo Kio,Total,80 - 84,1- and 2-Room Flats*,380
Ang Mo Kio,Total,80 - 84,3-Room Flats,1980
Ang Mo Kio,Total,80 - 84,4-Room Flats,1330
Ang Mo Kio,Total,80 - 84,5-Room and Executive Flats,510
Ang Mo Kio,Total,80 - 84,Condominiums and Other Apartments,140
Ang Mo Kio,Total,80 - 84,Landed Properties,490
Ang Mo Kio,Total,80 - 84,Others,190
Ang Mo Kio,Total,85 - 89,Total,2700
Ang Mo Kio,Total,85 - 89,Total HDB^,2130
Ang Mo Kio,Total,85 - 89,1- and 2-Room Flats*,180
Ang Mo Kio,Total,85 - 89,3-Room Flats,980
Ang Mo Kio,Total,85 - 89,4-Room Flats,710
Ang Mo Kio,Total,85 - 89,5-Room and Executive Flats,260
Ang Mo Kio,Total,85 - 89,Condominiums and Other Apartments,100
Ang Mo Kio,Total,85 - 89,Landed Properties,310
Ang Mo Kio,Total,85 - 89,Others,160
Ang Mo Kio,Total,90 & Over,Total,1520
Ang Mo Kio,Total,90 & Over,Total HDB^,1160
Ang Mo Kio,Total,90 & Over,1- and 2-Room Flats*,120
Ang Mo Kio,Total,90 & Over,3-Room Flats,460
Ang Mo Kio,Total,90 & Over,4-Room Flats,440
Ang Mo Kio,Total,90 & Over,5-Room and Executive Flats,150
Ang Mo Kio,Total,90 & Over,Condominiums and Other Apartments,40
Ang Mo Kio,Total,90 & Over,Landed Properties,160
Ang Mo Kio,Total,90 & Over,Others,170
Ang Mo Kio,Ang Mo Kio Town Centre,Total,Total,4850
Ang Mo Kio,Ang Mo Kio Town Centre,Total,Total HDB^,2750
Ang Mo Kio,Ang Mo Kio Town Centre,Total,1- and 2-Room Flats*,-
Ang Mo Kio,Ang Mo Kio Town Centre,Total,3-Room Flats,370
Ang Mo Kio,Ang Mo Kio Town Centre,Total,4-Room Flats,600
Ang Mo Kio,Ang Mo Kio Town Centre,Total,5-Room and Executive Flats,1790
